studio_id,state,state_code,age_years,employees,revenue_aud_millions
S001,Victoria,VIC,1.0,6,0.86
S002,Victoria,VIC,3.7,37,13.16
S003,Victoria,VIC,6.2,6,1.11
S004,Victoria,VIC,1.4,10,0.72
S005,Victoria,VIC,24.5,127,43.52
S006,Victoria,VIC,2.9,5,0.83
S007,Victoria,VIC,3.4,5,1.27
S008,Victoria,VIC,4.4,28,6.16
S009,Victoria,VIC,20.2,97,128.24
S010,Victoria,VIC,0.5,6,0.25
S011,Victoria,VIC,25.3,4,1.18
S012,Victoria,VIC,27.6,4,1.17
S013,Victoria,VIC,19.0,11,2.53
S014,Victoria,VIC,0.5,14,2.78
S015,Victoria,VIC,2.6,12,3.1
S016,Victoria,VIC,20.0,23,4.25
S017,Victoria,VIC,1.2,29,0.63
S018,Victoria,VIC,4.2,68,28.24
S019,Victoria,VIC,1.4,1,0.02
S020,Victoria,VIC,21.0,1,0.28
S021,Victoria,VIC,22.0,7,0.48
S022,Victoria,VIC,9.6,35,11.86
S023,Victoria,VIC,1.1,96,2.06
S024,Victoria,VIC,1.3,13,0.81
S025,Victoria,VIC,0.5,1,0.02
S026,Victoria,VIC,10.5,10,3.28
S027,Victoria,VIC,19.0,5,1.71
S028,Victoria,VIC,3.3,5,0.7
S029,Victoria,VIC,2.1,7,0.6
S030,Victoria,VIC,18.1,20,5.03
S031,Victoria,VIC,1.1,5,0.65
S032,Victoria,VIC,0.8,6,0.18
S033,Victoria,VIC,5.0,23,5.58
S034,Victoria,VIC,2.4,22,8.31
S035,Victoria,VIC,1.5,33,2.67
S036,Victoria,VIC,13.3,2,0.36
S037,Victoria,VIC,13.9,9,2.55
S038,Victoria,VIC,0.8,5,0.05
S039,Victoria,VIC,2.3,3,0.94
S040,Victoria,VIC,7.5,1,0.16
S041,Victoria,VIC,0.6,3,0.14
S042,Victoria,VIC,1.2,10,0.62
S043,Victoria,VIC,5.2,5,0.67
S044,Victoria,VIC,25.8,13,4.18
S045,Victoria,VIC,4.8,4,1.47
S046,Victoria,VIC,4.2,17,3.1
S047,Victoria,VIC,5.1,60,16.91
S048,Victoria,VIC,1.1,2,0.23
S049,Victoria,VIC,0.9,4,0.19
S050,Victoria,VIC,0.6,13,0.69
S051,New South Wales,NSW,0.5,4,0.09
S052,New South Wales,NSW,5.4,1,0.29
S053,New South Wales,NSW,2.8,10,0.87
S054,New South Wales,NSW,6.2,2,0.6
S055,New South Wales,NSW,26.3,3,1.18
S056,New South Wales,NSW,16.2,3,0.66
S057,New South Wales,NSW,26.1,9,1.24
S058,New South Wales,NSW,1.4,98,11.05
S059,New South Wales,NSW,0.9,7,1.14
S060,New South Wales,NSW,4.5,9,2.6
S061,New South Wales,NSW,4.9,7,3.19
S062,New South Wales,NSW,0.9,9,0.29
S063,New South Wales,NSW,0.8,10,0.57
S064,New South Wales,NSW,9.2,11,2.21
S065,New South Wales,NSW,25.8,13,0.96
S066,New South Wales,NSW,0.5,1,0.07
S067,New South Wales,NSW,3.8,1,0.41
S068,New South Wales,NSW,23.1,5,0.82
S069,New South Wales,NSW,3.5,8,3.16
S070,New South Wales,NSW,3.8,1,0.34
S071,New South Wales,NSW,1.2,4,0.43
S072,New South Wales,NSW,9.3,2,0.26
S073,New South Wales,NSW,26.6,25,5.48
S074,New South Wales,NSW,2.5,7,1.69
S075,New South Wales,NSW,0.8,22,0.41
S076,New South Wales,NSW,20.1,3,0.79
S077,New South Wales,NSW,3.6,4,0.7
S078,New South Wales,NSW,26.4,34,12.12
S079,New South Wales,NSW,3.9,4,10.08
S080,New South Wales,NSW,0.8,11,1.83
S081,New South Wales,NSW,2.0,33,3.65
S082,New South Wales,NSW,0.5,4,0.21
S083,New South Wales,NSW,2.6,17,2.16
S084,Queensland,QLD,13.7,9,0.88
S085,Queensland,QLD,3.8,1,0.15
S086,Queensland,QLD,1.2,219,14.37
S087,Queensland,QLD,6.3,22,1.71
S088,Queensland,QLD,1.3,4,0.22
S089,Queensland,QLD,2.7,4,1.45
S090,Queensland,QLD,7.5,9,4.04
S091,Queensland,QLD,27.5,12,2.22
S092,Queensland,QLD,1.5,19,3.3
S093,Queensland,QLD,4.6,14,31.28
S094,Queensland,QLD,4.6,2,0.68
S095,Queensland,QLD,18.8,10,2.05
S096,Queensland,QLD,4.2,5,1.27
S097,Queensland,QLD,5.7,34,9.63
S098,Queensland,QLD,15.0,2,0.21
S099,Queensland,QLD,5.6,1,0.33
S100,Queensland,QLD,3.9,15,2.63
S101,Queensland,QLD,11.7,11,1.36
S102,Queensland,QLD,5.2,1,0.19
S103,Queensland,QLD,9.1,1,0.12
S104,Queensland,QLD,17.6,2,0.28
S105,Queensland,QLD,3.1,11,3.75
S106,Queensland,QLD,2.6,4,1.55
S107,Queensland,QLD,4.6,2,0.2
S108,Queensland,QLD,8.1,2,0.26
S109,Western Australia,WA,27.4,5,2.01
S110,Western Australia,WA,24.2,3,0.6
S111,Western Australia,WA,2.8,2,0.19
S112,Western Australia,WA,0.9,5,0.12
S113,Western Australia,WA,27.4,4,0.73
S114,Western Australia,WA,3.6,3,0.49
S115,Western Australia,WA,1.0,1,0.06
S116,Western Australia,WA,3.4,3,0.32
S117,Western Australia,WA,1.0,1,0.11
S118,Western Australia,WA,1.5,35,0.68
S119,Western Australia,WA,7.3,2,0.48
S120,Western Australia,WA,3.5,12,1.63
S121,South Australia,SA,3.1,12,5.09
S122,South Australia,SA,1.0,2,0.28
S123,South Australia,SA,20.4,5,0.59
S124,South Australia,SA,9.0,13,1.65
S125,South Australia,SA,0.6,203,6.52
S126,South Australia,SA,13.0,3,0.27
S127,South Australia,SA,13.9,35,9.75
S128,South Australia,SA,2.1,91,35.46
S129,South Australia,SA,27.2,20,6.32
S130,South Australia,SA,0.6,9,0.45
S131,South Australia,SA,2.8,36,9.78
S132,Tasmania,TAS,3.6,5,1.5
S133,Tasmania,TAS,2.3,4,0.77
S134,Tasmania,TAS,5.9,5,0.65
S135,Tasmania,TAS,5.0,12,1.18
S136,Tasmania,TAS,5.7,98,35.61
